"company","latitude","longitude","biz_type","naics8_descriptions"
"7-ELEVEN",37.789576,-122.401164,"grocery","CONVENIENCE STORES"
"7-ELEVEN",37.794229,-122.396702,"grocery","CONVENIENCE STORES"
"7-ELEVEN",37.789625,-122.404362,"grocery","CONVENIENCE STORES"
"MINAMOTO KITCHOAN",37.78846,-122.40294,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MYSTY TEA INC",37.792121,-122.405717,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"TENREN'S TEA",37.792121,-122.405717,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"RUSSELL'S CONVENIENCE",37.791402,-122.402844,"grocery","CONVENIENCE STORES"
"7-ELEVEN",37.79209,-122.399381,"grocery","CONVENIENCE STORES"
"FOOD FAIR MARKET",37.790193,-122.407346,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"7-ELEVEN",37.792395,-122.401283,"grocery","CONVENIENCE STORES"
"7-ELEVEN",37.788253,-122.403245,"grocery","CONVENIENCE STORES"
"KEARNY S F I-TEA LLC",37.790553,-122.404242,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"WINN-DIXIE STORES INC",37.79301,-122.40045,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"RALEY'S",37.793392,-122.400826,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"AMAZON GO",37.793451,-122.400357,"grocery","CONVENIENCE STORES"
"THIRD CULTURE FOOD GROUP",37.791133,-122.401908,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"AMAZON GO",37.789115,-122.403324,"grocery","CONVENIENCE STORES"
"STAR CONVENIENCE",37.788779,-122.402575,"grocery","CONVENIENCE STORES"
"FRAENKEL GALLERY",37.787437,-122.404385,"art","ART DEALERS"
"ASIAN ARTS CTR",37.7874,-122.4043,"art","ART DEALERS"
"ELINS EAGLES SMITH GALLERY INC",37.787437,-122.404385,"art","ART DEALERS"
"JENKINS JOHNSON GALLERY",37.789662,-122.407848,"art","ART DEALERS"
"GREGORY LIND GALLERY",37.787437,-122.404385,"art","ART DEALERS"
"MISHIN GALLERY",37.789036,-122.407872,"art","ART DEALERS"
"LA PIAZZA GALLERIA",37.792123,-122.406044,"art","ART DEALERS"
"MODERN BOOK",37.787437,-122.404385,"art","ART DEALERS"
"CALDWELL SNYDER GALLERY",37.789309,-122.405974,"art","ART DEALERS"
"HACKETT MILL",37.788412,-122.405427,"art","ART DEALERS"
"LARRY EVANS GALLERY",37.790155,-122.405883,"art","ART DEALERS"
"COMMERCIAL DESIGN GROUP INC",37.78985,-122.40117,"art","ART DEALERS"
"BRIAN GROSS ART AT ONE POST",37.788779,-122.402575,"art","ART DEALERS"
"DON SOKER CONTEMPORARY ART",37.790351,-122.401863,"art","ART DEALERS"
"CORDEN POTTS GALLERY LLC",37.787437,-122.404385,"art","ART DEALERS"
"ASIAN ARTS CTR",37.788502,-122.403906,"art","ART DEALERS"
"HESPE GALLERY",37.788351,-122.406056,"art","ART DEALERS"
